"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EPRS","EPIRUS Biopharmaceuticals, Inc.","0.65","17019826.85","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eprs",
"EPZM","Epizyme, Inc.","9.47","541899385.68","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","82.42","616683995.46","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"EQIX","Equinix, Inc.","342.32","23766571051.52","n/a","2000","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqix",
"EQFN","Equitable Financial Corp.","8.25","28687956","n/a","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"EQBK","Equity Bancshares, Inc.","21.37","175484605.99","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk",
"EAC           ","Erickson Incorporated","1.13","15701825.73","n/a","2012","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/eac",
"ERIC","Ericsson","7.54","2075813347.4","275306810","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","95.44","4408284649.92","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie",
"ESCA","Escalade, Incorporated","10.46","149120082.12","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"ESMC","Escalon Medical Corp.","0.8","6021144","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/esmc",
"ESPR","Esperion Therapeutics, Inc.","14.65","330226060.2","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"ESSA","ESSA Bancorp, Inc.","13.35","151918514.4","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","3.33","95998921.65","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","29.14","1082667210.32","n/a","n/a","Consumer Services","Paper","http://www.nasdaq.com/symbol/esnd",
"ESSF","ETRE REIT, LLC","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/essf",
"ETSY","Etsy, Inc.","8.48","958862559.2","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","1.95","4020722.55","n/a","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EEFT","Euronet Worldwide, Inc.","75.38","3923270446.6","n/a","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft",
"ESEA","Euroseas Ltd.","2.1","17211096","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EVEP","EV Energy Partners, L.P.","2.16","105959262.24","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EVK","Ever-Glory International Group, Inc.","1.7195","25424300.026","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"EVLV","EVINE Live Inc.","1.13","64602376.85","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv",
"EVOK","Evoke Pharma, Inc.","5.7","41273232.6","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EVOL","Evolving Systems, Inc.","5.4","63713520","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXA","Exa Corporation","12.91","188887746.29","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"EXAS","EXACT Sciences Corporation","5.52","539811288","n/a","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas",
"EXAC","Exactech, Inc.","23.68","333802799.36","n/a","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"EXEL","Exelixis, Inc.","5.24","1198595802.68","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel",
"EXFO","EXFO Inc","3.93","87663904.41","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo",
"EXLS","ExlService Holdings, Inc.","47.66","1595307452.2","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"EXPE","Expedia, Inc.","111.62","16607373774.98","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","47.57","8660548104.67","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"EXPO","Exponent, Inc.","49.61","1287616238.92","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/expo",
"ESRX","Express Scripts Holding Company","72.22","45681749920","n/a","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"EXTR","Extreme Networks, Inc.","3.4","356337537.2","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr",
"EYEG","Eyegate Pharmaceuticals, Inc.","3.05","25456654.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyeg",
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.69","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyegw",
"EZPW","EZCORP, Inc.","5.91","318822520.71","n/a","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ezpw",
"FFIV","F5 Networks, Inc.","103.83","6954666821.55","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","117.35","335656735539.35","n/a","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FCS","Fairchild Semiconductor International, Inc.","19.82","2272220414.92","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fcs",
"FRP","FairPoint Communications, Inc.","13.7","370801446.3","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/frp",
"FALC","FalconStor Software, Inc.","1.27","54849234.98","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"DAVE","Famous Dave&#39;s of America, Inc.","4.95","34440258.6","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FARM","Farmer Brothers Company","26.97","452260712.13","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm",
"FFKT","Farmers Capital Bank Corporation","27.02","202716117.94","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt",
"FMNB","Farmers National Banc Corp.","8.85","238280798.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb",
"FARO","FARO Technologies, Inc.","32.83","546680957.76","n/a","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","45.2","13057522854.8","n/a","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast",
"FATE","Fate Therapeutics, Inc.","1.52","43873362.08","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","14.75","55430087","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss",
"FBRC","FBR & Co","19.97","145989466.83","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/fbrc",
"FDML","Federal-Mogul Holdings Corporation","8.6","1453749598.6","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fdml",
"FNHC","Federated National Holding Company","21.07","291327599.78","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"FEIC","FEI Company","85.78","3504960334.84","n/a","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/feic",
"FHCO","Female Health Company (The)","1.36","39511627.12","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco",
"FENX","Fenix Parts, Inc.","3.8","75722098.4","n/a","2015","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/fenx",
"GSM","Ferroglobe PLC","8.54","1467497826.62","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"FCSC","Fibrocell Science Inc","2.03","89114533.55","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","17.35","1083522681.25","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fgen",
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","185.96","427708000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oneq",
"LION","Fidelity Southern Corporation","15.11","384875150.72","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lion",
"FDUS","Fidus Investment Corporation","15.47","252352255.61","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/fdus",
"FRGI","Fiesta Restaurant Group, Inc.","23.88","642567983.16","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frgi",
"FSAM","Fifth Street Asset Management Inc.","3.85","187323551.8","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/fsam",
"FSC","Fifth Street Finance Corp.","5.15","748316743.3","n/a","2008","n/a","n/a","http://www.nasdaq.com/symbol/fsc",
"FSCFL","Fifth Street Finance Corp.","25.09","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fscfl",
"FSFR","Fifth Street Senior Floating Rate Corp.","7.48","220411424.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fsfr",
"FITB","Fifth Third Bancorp","17.48","13419707563.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","30.22","543960000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitbi",
"FNGN","Financial Engines, Inc.","26.05","1639917366.1","n/a","2010","Finance","Investment Managers","http://www.nasdaq.com/symbol/fngn",
"FISI","Financial Institutions, Inc.","26.54","384777291.56","n/a","1999","Finance","Major Banks","http://www.nasdaq.com/symbol/fisi",
"FNSR","Finisar Corporation","15.73","1691448819.06","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fnsr",
"FNJN","Finjan Holdings, Inc.","1.37","31178120.24","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn",
"FNTC","FinTech Acquisition Corp.","10","137333330","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/fntc",
"FNTCU","FinTech Acquisition Corp.","10.9428","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/fntcu",
"FNTCW","FinTech Acquisition Corp.","0.74","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/fntcw",
"FEYE","FireEye, Inc.","13.39","2227497547.34","n/a","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","18.77","372964967.9","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","19.25","207445257.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","6.95","54814406.75","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","20.48","781232476.16","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","24.11","209761146.92","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","31.11","103863939.33","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fcap",
"FCFS","First Cash Financial Services, Inc.","43.92","1240442617.68","n/a","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/fcfs",
"FCNCA","First Citizens BancShares, Inc.","242.6","2913724253","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcnca",
"FCLF","First Clover Leaf Financial Corp.","11.78","82529301.74","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fclf",
"FCBC","First Community Bancshares, Inc.","20.32","355888056.32","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","14.41","96446735.22","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcco",
"FCFP","First Community Financial Partners, Inc.","9","154582776","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcfp",
"FBNK","First Connecticut Bancorp, Inc.","16.06","253926169.64","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/fbnk",
"FDEF","First Defiance Financial Corp.","38.72","347037099.2","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","18.72","1157997934.08","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbc",
"FFBCW","First Financial Bancorp.","7.48","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbcw",
"FFIN","First Financial Bankshares, Inc.","31.03","2049757305.31","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","35.01","428601907.71","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","13.19","176592230.98","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","21.93","352808546.13","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","15.99","121671012.06","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fgbi",
"INBK","First Internet Bancorp","23.25","104561853","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/inbk",
"FIBK","First Interstate BancSystem, Inc.","26.81","1198607672.85","n/a","2010","Finance","Major Banks","http://www.nasdaq.com/symbol/fibk",
"FRME","First Merchants Corporation","24.37","993065168.78","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/frme",
"FMBH","First Mid-Illinois Bancshares, Inc.","25.3","214034306.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmbh",
"FMBI","First Midwest Bancorp, Inc.","17.27","1404530173.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmbi",
"FNBC","First NBC Bank Holding Company","18.01","343422172.16","n/a","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/fnbc",
"FNFG","First Niagara Financial Group Inc.","10.27","3644678511.37","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnfg",
"FNWB","First Northwest Bancorp","13.11","169944405.6","n/a","2015","Finance","Banks","http://www.nasdaq.com/symbol/fnwb",
